,bbx_idx,frame_idx,detect,class,x,y,w,h,conf
17,1,8,True,Sugar bag,0.21708333492279053,0.6715278029441833,0.37583333253860474,0.581944465637207,0.9558897614479065
18,0,9,True,Flour bag,0.7941666841506958,0.7479166388511658,0.3916666805744171,0.5041666626930237,0.9513066411018372
19,1,9,True,Sugar bag,0.21833333373069763,0.6722221970558167,0.3766666650772095,0.5833333134651184,0.9543861746788025
20,0,10,True,Flour bag,0.79708331823349,0.7493055462837219,0.39250001311302185,0.5013889074325562,0.9504742622375488
21,1,10,True,Sugar bag,0.21958333253860474,0.6701388955116272,0.3774999976158142,0.5847222208976746,0.9537327289581299
22,0,11,True,Flour bag,0.800000011920929,0.7486110925674438,0.3866666555404663,0.5027777552604675,0.9526094794273376
23,1,11,True,Sugar bag,0.22208333015441895,0.6652777791023254,0.3791666626930237,0.5916666388511658,0.9535073041915894
24,0,12,True,Sugar bag,0.22499999403953552,0.6618055701255798,0.3799999952316284,0.5902777910232544,0.9479596018791199
25,1,12,True,Flour bag,0.8033333420753479,0.7486110925674438,0.3816666603088379,0.5027777552604675,0.9491345286369324
26,0,13,True,Sugar bag,0.2291666716337204,0.6555555462837219,0.3799999952316284,0.5944444537162781,0.9402098059654236
27,1,13,True,Flour bag,0.8066666722297668,0.7430555820465088,0.3799999952316284,0.5083333253860474,0.9505091309547424
28,0,14,True,Sugar bag,0.2329166680574417,0.6506944298744202,0.3824999928474426,0.6097221970558167,0.9304763078689575
29,1,14,True,Flour bag,0.8058333396911621,0.7395833134651184,0.3799999952316284,0.5069444179534912,0.9499896168708801
30,0,15,True,Sugar bag,0.23541666567325592,0.6430555582046509,0.38083332777023315,0.605555534362793,0.9025015234947205
31,1,15,True,Flour bag,0.809166669845581,0.7361111044883728,0.3733333349227905,0.5083333253860474,0.9503281712532043
32,0,16,True,Sugar bag,0.23749999701976776,0.6381944417953491,0.37833333015441895,0.6013888716697693,0.8765720129013062
33,1,16,True,Flour bag,0.8100000023841858,0.7326388955116272,0.3733333349227905,0.5097222328186035,0.9495304822921753
34,0,17,True,Sugar bag,0.23916666209697723,0.6333333253860474,0.37166666984558105,0.5861111283302307,0.8747057914733887
35,1,17,True,Flour bag,0.8087499737739563,0.7250000238418579,0.37416666746139526,0.519444465637207,0.9481803178787231
36,0,18,True,Sugar bag,0.23749999701976776,0.625,0.38333332538604736,0.6000000238418579,0.892253577709198
37,1,18,True,Flour bag,0.8079166412353516,0.7222222089767456,0.37583333253860474,0.519444465637207,0.94805908203125
38,0,19,True,Sugar bag,0.2370833307504654,0.6229166388511658,0.3841666579246521,0.5986111164093018,0.8948401212692261
39,1,19,True,Flour bag,0.8062499761581421,0.7173610925674438,0.3791666626930237,0.5180555582046509,0.945856511592865
40,0,20,True,Sugar bag,0.23666666448116302,0.6222222447395325,0.38333332538604736,0.5972222089767456,0.8924360275268555
41,1,20,True,Flour bag,0.8054166436195374,0.7111111283302307,0.3791666626930237,0.5138888955116272,0.943517804145813
42,0,21,True,Sugar bag,0.2358333319425583,0.6229166388511658,0.38499999046325684,0.5986111164093018,0.881510853767395
43,1,21,True,Flour bag,0.8033333420753479,0.706944465637207,0.38333332538604736,0.5111111402511597,0.9426831007003784
44,0,22,True,Sugar bag,0.23541666567325592,0.6263889074325562,0.3858333230018616,0.5972222089767456,0.8254671096801758
45,1,22,True,Flour bag,0.8016666769981384,0.7055555582046509,0.3816666603088379,0.5055555701255798,0.9413866996765137
46,0,23,True,Sugar bag,0.23416666686534882,0.6347222328186035,0.3799999952316284,0.5972222089767456,0.7939446568489075
47,1,23,True,Flour bag,0.8025000095367432,0.706944465637207,0.38499999046325684,0.5027777552604675,0.9407865405082703
48,0,24,True,Sugar bag,0.22875000536441803,0.6395833492279053,0.3791666626930237,0.5958333611488342,0.8808447122573853
49,1,24,True,Flour bag,0.8012499809265137,0.7076388597488403,0.3858333230018616,0.49861112236976624,0.9417961239814758
50,0,25,True,Sugar bag,0.22583332657814026,0.6451388597488403,0.3733333349227905,0.5902777910232544,0.9293140172958374
51,1,25,True,Flour bag,0.7995833158493042,0.7104166746139526,0.3858333230018616,0.4958333373069763,0.9418591856956482
52,0,26,True,Flour bag,0.7979166507720947,0.7097222208976746,0.3725000023841858,0.49166667461395264,0.9408400654792786
